,Station name,location,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,Airoli,"(19.158514699999998, 72.99940185331164)",0.0,5.0,0.0,13.0,2.0,7.0,15.0,4.0,3.0,3.0
1,Ambarnath,"(19.1436074, 73.2955345448486)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ambivli,"(19.267645, 73.1718625)",0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,4.0
3,Andheri,"(19.1196976, 72.8464205)",5.0,8.0,0.0,33.0,7.0,9.0,21.0,4.0,36.0,14.0
4,Asangaon,"(19.4409122, 73.3065183)",0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
5,Atgaon,"(19.503751, 73.327362)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Badlapur,"(19.1669545, 73.2381899)",2.0,0.0,0.0,5.0,0.0,1.0,4.0,5.0,9.0,3.0
7,Bandra,"(19.05492845, 72.8405920869825)",6.0,3.0,0.0,55.0,17.0,6.0,31.0,6.0,37.0,10.0
8,Bhandup,"(19.1438684, 72.9384327)",4.0,9.0,0.0,15.0,6.0,5.0,7.0,7.0,8.0,4.0
9,Bhayandar,"(19.3102682, 72.8530973)",2.0,5.0,0.0,4.0,1.0,4.0,3.0,5.0,18.0,4.0
10,Bhivpuri Road,"(18.9705432, 73.331417)",0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
11,Bhiwandi,"(19.362530800000002, 73.07847467842203)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Boisar,"(19.7863383, 72.7925799)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13,Borivali,"(19.229068, 72.8573628)",3.0,9.0,1.0,44.0,5.0,10.0,19.0,6.0,34.0,20.0
14,Byculla,"(18.9766219, 72.8327936)",3.0,5.0,0.0,22.0,6.0,2.0,28.0,4.0,7.0,4.0
15,CBD Belapur,"(19.01898695, 73.03909472408442)",1.0,10.0,1.0,29.0,4.0,3.0,18.0,6.0,4.0,6.0
16,Charni Road,"(18.9524563, 72.8174395)",11.0,9.0,0.0,51.0,6.0,13.0,21.0,11.0,18.0,3.0
17,Chembur,"(19.0612128, 72.8975909)",3.0,2.0,1.0,57.0,5.0,8.0,23.0,2.0,22.0,5.0
18,Chhatrapati Shivaji Maharaj Terminus,"(18.9398453, 72.83547038112503)",11.0,16.0,1.0,69.0,10.0,8.0,31.0,3.0,35.0,16.0
19,Chinchpokli,"(18.9871984, 72.8326716)",5.0,4.0,0.0,14.0,5.0,4.0,29.0,6.0,9.0,3.0
20,Chunabhatti,"(19.0517703, 72.8690974)",4.0,5.0,1.0,22.0,4.0,3.0,15.0,8.0,3.0,9.0
21,Churchgate,"(18.9359567, 72.8273404)",12.0,28.0,4.0,105.0,26.0,18.0,32.0,4.0,38.0,23.0
22,Cotton Green,"(18.9871866, 72.8438965)",4.0,0.0,0.0,4.0,3.0,10.0,13.0,10.0,1.0,2.0
